date,stationId,code,value
2023-04-29 19:00:00.000000 UTC,60ec15213fdcd35938ff8c66,PM2.5,38.0
2022-12-11 22:00:00.000000 UTC,60ec15213fdcd35938ff8cac,PM2.5,162.0
2022-12-30 16:00:00.000000 UTC,60ec15213fdcd35938ff8cc4,PM2.5,108.0
2023-01-15 05:00:00.000000 UTC,60ec15223fdcd35938ff8d7c,PM2.5,61.0
2023-01-17 16:00:00.000000 UTC,60ec15223fdcd35938ff8d9a,PM2.5,126.0
2022-12-20 14:00:00.000000 UTC,60ec15223fdcd35938ff8d9e,PM2.5,134.0
2023-01-29 11:00:00.000000 UTC,60ec15223fdcd35938ff8da8,PM2.5,155.0
2023-03-18 08:00:00.000000 UTC,60ec15233fdcd35938ff8de8,PM2.5,38.0
2022-12-23 15:00:00.000000 UTC,k56,PMtot,93.0319617845118
2022-02-21 10:00:00.000000 UTC,k57,PMtot,0.000866
2022-07-07 02:00:00.000000 UTC,k57,PMtot,0.001586
2023-01-05 19:00:00.000000 UTC,k60,PMtot,0.1274390555555555
2021-02-20 09:00:00.000000 UTC,s1,PM2.5,21.0
2021-02-25 12:00:00.000000 UTC,s7,PM2.5,7.24
2021-11-18 19:00:00.000000 UTC,k26,PM2.5,13.471
2024-04-29 03:00:00.000000 UTC,k28,PM2.5,0.8542222222222221
2021-03-14 17:00:00.000000 UTC,k55,PM2.5,1.0
2021-02-27 04:00:00.000000 UTC,k55,PM2.5,2.0
2021-04-13 05:00:00.000000 UTC,k55,PM2.5,0.451666418128655
2022-01-16 08:00:00.000000 UTC,k56,PM2.5,8.430367803030304
2023-06-05 08:00:00.000000 UTC,k56,PM2.5,8.749464141414142
2021-05-21 16:00:00.000000 UTC,k58,PM2.5,10.493145979532164
2023-11-26 16:00:00.000000 UTC,k58,PM2.5,97.3863152136444
2020-11-04 23:00:00.000000 UTC,k59,PM2.5,101.0
2022-08-24 17:00:00.000000 UTC,k59,PM2.5,0.433
2022-06-05 12:00:00.000000 UTC,k59,PM2.5,7.5355
2023-02-11 13:00:00.000000 UTC,27423,PM2.5,121.33333333333331
2023-04-08 03:00:00.000000 UTC,27443,PM2.5,19.33333333333333
2023-09-28 18:00:00.000000 UTC,43241,PM2.5,92.0
2024-02-12 14:00:00.000000 UTC,30369354,PM2.5,70.0
2023-01-03 09:00:00.000000 UTC,30369354,PM2.5,84.0
2023-04-03 01:00:00.000000 UTC,37917495,PM2.5,94.33333333333333
2023-09-01 23:00:00.000000 UTC,38834077,PM2.5,43.66666666666666
2023-11-20 16:00:00.000000 UTC,39379024,PM2.5,104.66666666666669
2023-03-20 11:00:00.000000 UTC,60ec151f3fdcd35938ff8aa0,PM2.5,102.0
2023-04-15 02:00:00.000000 UTC,60ec15213fdcd35938ff8c4a,PM2.5,99.0
2023-04-27 12:00:00.000000 UTC,60ec15223fdcd35938ff8cec,PM2.5,72.0
2023-02-15 19:00:00.000000 UTC,60ec15223fdcd35938ff8da6,PM2.5,161.0
2023-03-20 19:00:00.000000 UTC,60ec15233fdcd35938ff8dde,PM2.5,70.0
2022-03-02 20:00:00.000000 UTC,k55,PMtot,35.34225984848486
2023-01-13 05:00:00.000000 UTC,k56,PMtot,7.081957856341191
2023-04-05 11:00:00.000000 UTC,k60,PMtot,0.0011886666666666
2022-01-23 08:00:00.000000 UTC,k60,PMtot,0.1009763333333333
2022-01-25 13:00:00.000000 UTC,k60,PMtot,0.1045796666666666
2023-06-16 18:00:00.000000 UTC,9,PM2.5,28.0
2020-12-19 11:00:00.000000 UTC,s2,PM2.5,92.8
2020-08-27 23:00:00.000000 UTC,s5,PM2.5,11.05
2020-10-04 05:00:00.000000 UTC,s5,PM2.5,17.16
2020-07-06 12:00:00.000000 UTC,s6,PM2.5,6.2
2021-05-04 03:00:00.000000 UTC,s6,PM2.5,7.74
2020-07-19 08:00:00.000000 UTC,s7,PM2.5,4.67
2022-07-25 20:00:00.000000 UTC,k26,PM2.5,1.7255
2020-11-30 10:00:00.000000 UTC,k27,PM2.5,27.0
2021-04-18 20:00:00.000000 UTC,k58,PM2.5,61.37399791666666
2022-06-24 08:00:00.000000 UTC,k58,PM2.5,14.204427701432936
2020-11-23 19:00:00.000000 UTC,k59,PM2.5,54.0
2023-04-25 00:00:00.000000 UTC,k59,PM2.5,4.566277777777778
2021-05-04 11:00:00.000000 UTC,k60,PM2.5,34.829
2021-11-14 17:00:00.000000 UTC,k60,PM2.5,82.968
2023-02-11 06:00:00.000000 UTC,k60,PM2.5,11.605999999999998
2023-08-13 08:00:00.000000 UTC,k97,PM2.5,0.8187777777777777
2020-11-23 09:00:00.000000 UTC,k97,PM2.5,43.0
2022-03-05 18:00:00.000000 UTC,k97,PM2.5,10.088666666666668
2022-10-26 20:00:00.000000 UTC,k97,PM2.5,0.4405
2023-05-31 22:00:00.000000 UTC,27173,PM2.5,52.66666666666666
2023-06-24 21:00:00.000000 UTC,27423,PM2.5,35.666666666666664
2022-12-22 04:00:00.000000 UTC,27423,PM2.5,33.66666666666667
2023-12-03 00:00:00.000000 UTC,27443,PM2.5,43.66666666666666
2024-04-23 04:00:00.000000 UTC,43241,PM2.5,63.333333333333336
2023-10-01 22:00:00.000000 UTC,43241,PM2.5,87.33333333333333
2024-02-25 21:00:00.000000 UTC,36200067,PM2.5,102.33333333333331
2024-02-16 19:00:00.000000 UTC,39379024,PM2.5,102.33333333333331
2023-04-15 05:00:00.000000 UTC,60ec15223fdcd35938ff8d04,PM2.5,58.0
2023-02-11 14:00:00.000000 UTC,60ec15223fdcd35938ff8d7c,PM2.5,152.0
2023-09-15 18:00:00.000000 UTC,k25,PMtot,0.0007988333333333
2023-06-16 21:00:00.000000 UTC,k25,PMtot,0.0012435555555555
2023-11-09 13:00:00.000000 UTC,k56,PMtot,3.814111111111112
2022-07-14 17:00:00.000000 UTC,k58,PMtot,12.708698484848483
2022-03-15 18:00:00.000000 UTC,k58,PMtot,6.88023143939394
2023-10-29 11:00:00.000000 UTC,k60,PMtot,0.021562
2023-02-28 17:00:00.000000 UTC,k97,PM10,2.3832777777777774
2023-02-21 08:00:00.000000 UTC,2,PM2.5,28.666666666666664
2023-07-15 08:00:00.000000 UTC,9,PM2.5,14.666666666666666
2021-01-21 02:00:00.000000 UTC,s1,PM2.5,137.0
2020-07-12 22:00:00.000000 UTC,s3,PM2.5,7.0
2021-01-07 18:00:00.000000 UTC,s3,PM2.5,177.0
2022-01-08 07:00:00.000000 UTC,s5,PM2.5,85.23
